title,pre,post,start,end,location,link,button1,button1link,button2,button2link,schedule-image,schedule-image-alt,description,genre,website,facebook,instagram,twitter,spotify,apple-music,youtube,tiktok,highlight,isEntertainer,isActivity,page-image,page-image-alt
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Blood Drive,American Red Cross,,2022-08-19T11:00 ,2022-08-19T16:00 ,wccc-latrobe,blood-drive.html,Donate,https://www.redcrossblood.org/give.html/drive-results?zipSponsor=bananasplit,,,blood-drive.gif,Red Cross logo inside blood drop,,,,,,,,,,,TRUE,,,,
Vendors Open,,,2022-08-19T12:00 ,2022-08-19T20:00 ,downtown-latrobe,,,,,,,,,,,,,,,,,,,,,,
Climbing Wall,Technimark,,2022-08-19T15:00 ,2022-08-19T20:00 ,downtown-latrobe,,,,,,climbing-wall.jpg,Climber on wall,,,,,,,,,,,,,TRUE,,
Over 21 Area,,,2022-08-19T15:00 ,2022-08-19T20:00 ,over-21-area,,,,,,,,,,,,,,,,,,,,,,
Anttolena and Scottie,,,2022-08-19T18:00 ,2022-08-19T19:00 ,stage2,,,,,,,,,,,,,,,,,,,TRUE,,,
Yellow Tie Gala,Latrobe Art Center,,2022-08-19T18:00 ,2022-08-19T21:00 ,art-center,https://www.latrobeartcenter.org/events-all/2021-yellow-tie-gala,Purchase ticket,https://www.latrobeartcenter.org/events-all/2021-yellow-tie-gala,,,yellow-tie.jpg,Yellow Tie Gala,,,,,,,,,,,TRUE,,,,
5k Banana Run Check-in,,,2022-08-20T07:30 ,2022-08-20T09:00 ,memorial-stadium,bananan-run.html,,,,,,,,,,,,,,,,,,,,,
5k Banana Run,Robindale,,2022-08-20T09:00 ,2022-08-20T11:30 ,memorial-stadium,bananan-run.html,Register online,https://www.active.com/latrobe-pa/running/distance-running-races/5k-banana-run-2022,Paper Form,pdf/2022-5k-banana-run.pdf,5k-run.png,2021 Banana Run shirt design,,,,,,,,,,,TRUE,,,,
Face painting ,PNC and Dairy Queen,,2022-08-20T10:00 ,2022-08-20T18:00 ,rogers-park,,,,,,,,,,,,,,,,,,,,TRUE,,
5k Banana Run Awards Ceremony,Loyalhanna Continuing Care,,2022-08-20T10:30 ,2022-08-20T11:30 ,memorial-stadium,bananan-run.html,,,,,,,,,,,,,,,,,,,,,
Jason Gamble,,,2022-08-20T12:00 ,2022-08-19T13:30 ,stage2,,,,,,,,,,,,,,,,,,,TRUE,,,
Car Show,State Farm Agent Sarah Crispin-Thomas,benefitting Relay for Life Latrobe,2022-08-20T12:00 ,2022-08-20T16:00 ,wccc-latrobe,car-show.html,Register online,https://dashboard.bananasplitfest.com/car-show-registration/,,,car-show.jpg,Blue show car,,,,,,,,,,,TRUE,,,,
Over 21 Area,,,2022-08-20T12:00 ,2022-08-20T20:00 ,over-21-area,,,,,,,,,,,,,,,,,,,,,,
Vendors Open,,,2022-08-20T12:00 ,2022-08-20T20:00 ,downtown-latrobe,,,,,,,,,,,,,,,,,,,,,,
Corn Hole Tournament,"Innate Fitness, Commercial Bank and Trust of PA, and Kelly Sparber White & Associates",,2022-08-20T13:00 ,2022-08-20T17:00 ,over-21-area,,,,,,,,,,,,,,,,,,,,TRUE,,
Kevin Dale Band,,,2022-08-20T13:30 ,2022-08-20T14:30 ,stage1,,,,,,,,,,,,,,,,,,,TRUE,,,
Laurel Valley Academy of Dance,,,2022-08-20T14:00 ,2022-08-20T15:00 ,stage2,,,,,,,,,,,,,,,,,,,TRUE,,,
Brachtopus,,,2022-08-20T15:00 ,2022-08-20T16:00 ,stage1,,,,,,,,,,,,,,,,,,,TRUE,,,
Car Show Awards Ceremony,Superior Motors,,2022-08-20T15:30 ,2022-08-20T16:00 ,wccc-latrobe,car-show.html,,,,,,,,,,,,,,,,,,,,,
Shattered Accoustic,,,2022-08-20T15:30 ,2022-08-20T16:30 ,stage2,,,,,,,,,,,,,,,,,,,TRUE,,,
Stage Right,,,2022-08-20T16:00 ,2022-08-20T17:00 ,expo,,,,,,,,,,,,,,,,,,,,,,
Pie Eating Contest,,,2022-08-20T16:30 ,2022-08-20T17:00 ,stage1,,,,,,,,,,,,,,,,,,TRUE,,,,
Crystal Blue Band,,,2022-08-20T19:30 ,2022-08-20T21:00 ,stage1,,,,,,,,Final live public performance,,,,,,,,,,TRUE,TRUE,,crystal-blue-band.jpg,Crystal Blue Band
Craft: Framed Banana Split Collage,Latrobe Art Center,,2022-08-21T10:00 ,2022-08-21T15:00 ,rogers-park,,,,,,,,Staff from the Latrobe Art Center will guide you through making your own framed banana split collage that you can take home. While supplies last.,,,,,,,,,,,,TRUE,,
Diamond Dolls Twirling Team,,,2022-08-21T11:30 ,2022-08-21T12:30 ,expo,,,,,,,,,,,,,,,,,,,,,,
YaJagoff! Podcast,,,2022-08-21T12:00 ,2022-08-21T13:00 ,over-21-area,,,,,,,,,,,,,,,,,,,TRUE,,,
Michael Christopher,,,2022-08-21T12:00 ,2022-08-21T13:30 ,stage1,,,,,,,,Country rock artist Michael Christopher's musical journey did not begin in a traditional way. A twist of fate at a line dance club in college ignited a passion for country music that has taken him across the country headlining shows and sharing the stage with some of the biggest names in the genre.,Country Rock,https://michaelchristophercountry.com/,https://www.facebook.com/michaelchristophercountry,https://www.instagram.com/michaelchristophercountry,,,,http://www.youtube.com/mcbcountry,,,TRUE,,michael-christopher.jpg,Michael Christopher
Joe Porembka Polka band,,,2022-08-21T12:00 ,2022-08-21T14:00 ,stage2,,,,,,,,,,,,,,,,,,,TRUE,,,
Over 21 Area,,,2022-08-21T12:00 ,2022-08-21T16:00 ,over-21-area,,,,,,,,,,,,,,,,,,,,,,
Vendors Open,,,2022-08-21T12:00 ,2022-08-21T16:00 ,downtown-latrobe,,,,,,,,,,,,,,,,,,,,,,
Westmoreland Performing Arts,,,2022-08-21T13:00 ,2022-08-21T14:00 ,expo,,,,,,,,,,,,,,,,,,,,,,
Mark Anderson,,,2022-08-21T14:30 ,2022-08-21T16:00 ,stage2,,,,,,,,,,,,,,,,,,,TRUE,,,
Joe Grushecky,1st Summit Bank presents,,2022-08-21T14:30 ,2022-08-21T16:30 ,stage1,,,,,,,,"Joe Grushecky’s music has stood the test of time.  Forty plus years since the creation of the Iron City Houserockers, Grushecky continues to create vital, complex music that is lyrically eloquent and relevant while remaining timeless in scope. After so many years, Grushecky continues to find new ways to express his muse in song. Publications such as Billboard, Rolling Stone, Village Voice, No Depression, and countless others have hailed him as one of rock & roll’s most talented singer-songwriters.",Rock,https://www.joegrushecky.com/,https://www.facebook.com/JoeGrushecky,,https://twitter.com/JoeGrushecky,https://open.spotify.com/artist/4sWq4Z0mq3hTbgkUOqeMCW?autoplay=true,,http://www.youtube.com/user/JoeGrusheckyAndHR,,TRUE,TRUE,,joe-grushecky.jpg,Joe Grushecky and the Houserockers
Kyle Green Band,,,2022-08-21T17:00 ,2022-08-21T18:00 ,stage2,,,,,,,,,,,,,,,,,,,TRUE,,,
Banana Split Princess Meet-n-Greet,,,,,parklet,,,,,,,,,,,,,,,,,,,,,,
Candy Bar Bingo,Keystone Candy,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,
East End Kids,,,,,expo,,,,,,,,,,,,,,,,,,,,,,
Goat Yoga,,,,,banana-marker,,,,,,,,,,,,,,,,,,,,TRUE,,
Library ,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,
Limbo Contest,,,,,rogers-park,,,,,,,,,,,,,,,,,,,,TRUE,,
Potato Sack Race,,,,,rogers-park,,,,,,,,,,,,,,,,,,,,TRUE,,
